,sid,structure_type,coordination_number,n_beta_hydrogens,n_meso_hydrogens,metal_radius,metal_charge,total_non_planarity
198,4331566,porphyrin,5,8,0,2.05,3.0,1.26702719874629
199,4331927,porphyrin,5,8,0,2.0,3.0,1.3769474278208471
200,4331928,porphyrin,5,8,0,2.0,3.0,1.482055658207869
201,4331976,corrole,5,8,0,2.05,3.0,0.306326946530844
202,4332606,porphyrin,6,8,0,2.05,2.0,0.22407946101057308
203,4333379,porphyrin,6,8,0,2.05,2.0,0.3001810874854998
204,4335943,porphyrin,4,8,0,2.05,2.0,1.1405065284230105
205,4336562,porphyrin,6,8,0,2.05,2.0,0.19621193717625304
206,4338050,corrole,5,8,0,2.05,4.0,0.5632665963082317
207,4338892,porphyrin,5,8,0,2.1,2.0,0.30281770254734713
208,4339319,corrole,4,0,0,2.1,3.0,0.7565906151659845
209,4340468,porphyrin,4,8,0,2.1,2.0,0.13202441462346637
210,4340787,porphyrin,5,0,0,2.0,3.0,3.679701663314671
