,sid,structure_type,coordination_number,central_metal,metal_charge,number_of_atoms,molar_mass
107,4086499,porphyrin,5,Rh,3.0,61,874.8729200000005
108,4086593,porphyrin,5,Co,3.0,58,798.8572200000004
109,4086594,porphyrin,5,Co,3.0,62,862.8548200000005
110,4103377,corrole,5,Mn,3.0,63,936.5054370000003
111,4103378,corrole,5,Mn,3.0,71,1567.6739169999998
112,4103379,corrole,5,Mn,3.0,57,1072.1850449999997
113,4103382,corrole,5,Mn,3.0,57,925.4165490000001
114,4106211,porphyrin,4,Ni,2.0,49,671.41332
115,4107359,porphyrin,4,Fe,2.0,137,2047.2849199999982
116,4107512,porphyrin,5,Fe,2.0,55,750.6687600000002
117,4107513,porphyrin,5,Fe,2.0,55,750.6687600000001
118,4107919,corrole,6,Ir,3.0,73,1735.0682680000002
119,4111293,corrole,5,Mn,3.0,63,936.5054370000003
120,4114247,porphyrin,4,Zn,2.0,41,598.1413600000001
121,4114907,corrole,5,Co,3.0,94,1409.0718489999997
122,4115597,porphyrin,6,Fe,3.0,50,713.7068232000005
123,4115598,porphyrin,6,Ru,3.0,50,758.9318232000007
124,4115599,porphyrin,6,Ru,3.0,50,758.9318232000008
125,4116362,porphyrin,6,Ru,2.0,49,743.9453000000004
126,4116363,porphyrin,6,Os,2.0,49,833.105300000001
127,4116365,porphyrin,6,Fe,2.0,63,854.7748200000002
128,4116368,porphyrin,6,Fe,2.0,55,777.8202000000005
129,4116369,porphyrin,5,Co,2.0,43,621.70066
