sid,metal,n_electrons,solvent,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity
4116885,Zn,736,['S(=O)(C)C'],5,2.0636023074040293,2.1243839537016376,3.6500000000000004,3.7,0.008335528790544174,0.3324456060528367,0.08070000125020291,0.13175939368488393
1551475,Zn,582,[],4,2.055139499746492,,,3.7,2.738142337594913e-16,5.626609474535234e-17,0.08214489546200468,0.22667163854859726
7203541,Ru,508,['n1ccccc1'],6,2.050441399334632,2.0210449696436457,3.7,3.65,0.006625094760422482,0.05840598111612503,0.1075312327975029,0.04551755738460955
7117411,Zn,446,[],4,2.0636126131496653,,,3.7,0.011046344559425629,0.19212340038911385,0.015356138860951017,0.27911682829039075
1551472,Zn,542,[],4,2.055346880483368,,,3.7,0.0010427347221060436,0.2215304420823545,0.08662489880906073,0.17586367385753854
4333198,Al,472,[],5,1.9932603116354983,1.8498771118355402,3.6500000000000004,3.7,0.018689747177526396,0.06688306581506605,0.22901406525119442,0.08616557587987475
7240787,Sn,512,[],4,2.091281287391846,,,3.85,4.8602404940809056e-17,4.8602404940809056e-17,0.06217227521674675,0.1046786713946523
4116365,Fe,444,[],6,1.9898535433555007,1.9619405707560142,3.65,3.65,0.025269681396618983,0.058249934330542714,0.18486910784486055,0.28619424988775743
8106545,Zn,468,['n1ccccc1'],5,2.0727935073954793,2.1452745838696266,3.7,3.7,0.006783160350176012,0.33939945555006995,0.12271065111429663,0.2106823159104918
4063564,Ir,504,[],5,2.03277007184587,2.022964655993772,3.7,3.6,0.005351797429869559,0.05659996104998147,0.061389866464713484,0.06989707317019735
7005395,Zn,608,['C(Cl)(Cl)Cl'],4,2.053855093711791,,,3.7,1.4161922964495932,4.459315077463649e-14,1.9485955807329067,2.9561340138687364
4308723,Ni,316,[],4,1.9164775553692248,,,3.6,0.010859999999999998,1.7347234759768075e-18,0.646282,0.245454
4311642,Ru,536,['O(CC)CC'],6,2.0510263069856833,2.0001441689256425,3.7,3.65,0.010061065766467482,0.07904016038767783,0.10219264414833626,0.09260148896049192
4308893,Ru,468,[],6,2.0453371457917036,1.8897771140305677,3.625,3.65,0.012571555262580542,0.06276788997785143,0.018372911562599823,0.03608234234518429
